name,type,city,phone,email,website_status,demo_url,text_message,email_subject,email_body
9 Natural Nails & Spa,nail salon,Mississauga ON,+1 905-290-2335,,no website,https://demos.wrenchdigital.ca/9-natural-nails-spa,"Hey, I'm Shaan from Wrench Digital. Check out your free nail salon website demo: https://demos.wrenchdigital.ca/9-natural-nails-spa",Get Your Nail Salon Online with Wrench Digital,"Hi 9 Natural Nails & Spa, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/9-natural-nails-spa"
Chique-á-Dazzle,nail salon,Mississauga ON,+1 647-708-7766,,no website,https://demos.wrenchdigital.ca/chique-dazzle,"Hi Chique-á-Dazzle, I'm Shaan from Wrench Digital. Check your free demo: https://demos.wrenchdigital.ca/chique-dazzle",Boost Your Nail Salon's Online Presence,"Hi Chique-á-Dazzle team, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo I made for you: https://demos.wrenchdigital.ca/chique-dazzle. Let's chat about growing your business online."
Neo Nail Studio,nail salon,Mississauga ON,+1 437-500-0603,,no website,https://demos.wrenchdigital.ca/neo-nail-studio,"Hey Neo Nail Studio, check out your free demo website: https://demos.wrenchdigital.ca/neo-nail-studio",Get Online with a Stunning Website for Neo Nail Studio,"Hi Neo Nail Studio, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/neo-nail-studio. Pricing starts at $699."
North Star Barbershop,barber,Mississauga ON,+1 647-323-6549,,no website,https://demos.wrenchdigital.ca/north-star-barbershop,"Hey North Star Barbershop, check out your free website demo: https://demos.wrenchdigital.ca/north-star-barbershop",Grow Your Barber Shop with a Professional Website,"Hi North Star Barbershop, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/north-star-barbershop. Let's chat about growing your business online."
Clasico Barbershop,barber,Mississauga ON,+1 905-997-9509,,no website,https://demos.wrenchdigital.ca/clasico-barbershop,"Hey, I'm Shaan from Wrench Digital. Get a free demo for Clasico Barbershop: https://demos.wrenchdigital.ca/clasico-barbershop",Take Clasico Barbershop Online,"Hi, I'm Shaan from Wrench Digital. I noticed Clasico Barbershop doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/clasico-barbershop"
Danny’s barbershop/salon/spa,barber,Mississauga ON,+1 905-949-6000,,no website,https://demos.wrenchdigital.ca/danny-s-barbershop-salon-spa,"Hey Danny, Shaan from Wrench Digital. Get a free website demo: https://demos.wrenchdigital.ca/danny-s-barbershop-salon-spa",Get Online with a Professional Website,"Hi Danny, I'm Shaan from Wrench Digital. I noticed your barbershop doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/danny-s-barbershop-salon-spa"
Top Fades Barbershop,barber,Mississauga ON,+1 905-820-1077,,no website,https://demos.wrenchdigital.ca/top-fades-barbershop,"Hey Top Fades, I'm Shaan from Wrench Digital. Get a free website demo: https://demos.wrenchdigital.ca/top-fades-barbershop",Grow Your Barbershop Online,"Hi Top Fades Barbershop, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/top-fades-barbershop"
Joseph's Salon,hair salon,Mississauga ON,+1 905-820-6200,,no website,https://demos.wrenchdigital.ca/joseph-s-salon,"Hey Joseph's Salon, check out your free demo website: https://demos.wrenchdigital.ca/joseph-s-salon",Elevate Joseph's Salon Online,"Hi Joseph's Salon, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/joseph-s-salon. Let's chat about growing your business online."
Agucci Studio hair salon & spa,hair salon,Mississauga ON,+1 905-568-0213,,no website,https://demos.wrenchdigital.ca/agucci-studio-hair-salon-spa,"Hey Agucci Studio, check out your free demo website: https://demos.wrenchdigital.ca/agucci-studio-hair-salon-spa",Get Online with a Professional Website,"Hi Agucci Studio, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer you a free demo: https://demos.wrenchdigital.ca/agucci-studio-hair-salon-spa. Let's get your salon online!"
Kams Hair & Beauty,hair salon,Mississauga ON,+1 647-572-8845,,no website,https://demos.wrenchdigital.ca/kams-hair-beauty,"Hey Kams Hair & Beauty, check out your free demo website: https://demos.wrenchdigital.ca/kams-hair-beauty",Grow Your Hair Salon Online,"Hi Kams Hair & Beauty team, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/kams-hair-beauty. Let's chat about growing your online presence."
