name,type,city,phone,email,website_status,demo_url,text_message,email_subject,email_body
Credit Valley Landscaping,landscaping,Mississauga ON,+1 647-512-6113,,website broken,https://demos.wrenchdigital.ca/credit-valley-landscaping,"Hey, I'm Shaan from Wrench Digital. Get a free website demo: https://demos.wrenchdigital.ca/credit-valley-landscaping",Boost Your Landscaping Business with a Website,"Hi Credit Valley Landscaping, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/credit-valley-landscaping"
No More Chores of Mississauga Cleaning,cleaning,Mississauga ON,+1 647-797-1617,,website broken,https://demos.wrenchdigital.ca/no-more-chores-of-mississauga-cleaning,"Hey, free demo for No More Chores: https://demos.wrenchdigital.ca/no-more-chores-of-mississauga-cleaning",Get Online with a Professional Website,"Hi, I'm Shaan from Wrench Digital. I noticed No More Chores of Mississauga Cleaning doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/no-more-chores-of-mississauga-cleaning"
Sunrise-Cleaning,cleaning,Mississauga ON,+1 905-567-1199,,website broken,https://demos.wrenchdigital.ca/sunrise-cleaning,"Hey, free demo for Sunrise-Cleaning: https://demos.wrenchdigital.ca/sunrise-cleaning",Elevate Sunrise-Cleaning's Online Presence,"Hi, I'm Shaan from Wrench Digital. I noticed Sunrise-Cleaning doesn't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/sunrise-cleaning. Let's chat about growing your business online."
Merry Maids of Mississauga,cleaning,Mississauga ON,+1 905-891-8735,,website broken,https://demos.wrenchdigital.ca/merry-maids-of-mississauga,"Hey, I'm Shaan from Wrench Digital. Get a free website demo: https://demos.wrenchdigital.ca/merry-maids-of-mississauga",Elevate Your Online Presence with Wrench Digital,"Hi Merry Maids of Mississauga, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/merry-maids-of-mississauga"
Longividade Cleaning Inc.,cleaning,Mississauga ON,+1 437-984-5895,,website broken,https://demos.wrenchdigital.ca/longividade-cleaning-inc,"Hi, check out your free demo website: https://demos.wrenchdigital.ca/longividade-cleaning-inc",Elevate Your Cleaning Business Online,"Hi Longividade Cleaning Inc., I'm Shaan from Wrench Digital. I noticed you don't have a website and wanted to offer a free demo: https://demos.wrenchdigital.ca/longividade-cleaning-inc. Let's discuss how a site can boost your business."
Cleany Mississauga,cleaning,Mississauga ON,+1 905-247-6781,,website broken,https://demos.wrenchdigital.ca/cleany-mississauga,"Hey Cleany Mississauga, check out your free website demo: https://demos.wrenchdigital.ca/cleany-mississauga",Get Online with a Professional Website,"Hi Cleany Mississauga, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer you a free demo: https://demos.wrenchdigital.ca/cleany-mississauga. Let's get you online!"
InspireClean Mississauga,cleaning,Mississauga ON,+1 905-991-4312,,website broken,https://demos.wrenchdigital.ca/inspireclean-mississauga,"Hey, I'm Shaan from Wrench Digital. Get a free demo website: https://demos.wrenchdigital.ca/inspireclean-mississauga",Elevate InspireClean Mississauga's Online Presence,"Hi InspireClean Mississauga team, I'm Shaan from Wrench Digital. I noticed you don't have a website and I'd love to help. Check out a free demo: https://demos.wrenchdigital.ca/inspireclean-mississauga"
Top 24/7 Plumbing,plumber,Mississauga ON,+1 647-697-0314,,website broken,https://demos.wrenchdigital.ca/top-24-7-plumbing,"Hey Top 24/7 Plumbing, check out your free website demo: https://demos.wrenchdigital.ca/top-24-7-plumbing",Get Online with a Professional Website,"Hi Top 24/7 Plumbing, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd love to help! Check out a free demo: https://demos.wrenchdigital.ca/top-24-7-plumbing. Let's get started!"
Mahmoud Plumber | Emergency Plumbing Mississauga,plumber,Mississauga ON,+1 437-218-6580,,no website,https://demos.wrenchdigital.ca/mahmoud-plumber-emergency-plumbing-mississauga,"Hey Mahmoud, check out your free demo website: https://demos.wrenchdigital.ca/mahmoud-plumber-emergency-plumbing-mississauga",Get Online with a Professional Website,"Hi Mahmoud, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer you a free demo: https://demos.wrenchdigital.ca/mahmoud-plumber-emergency-plumbing-mississauga. Let's get your business online!"
Gold Medal Plumbing and Drain,plumber,Mississauga ON,+1 416-242-6111,,website broken,https://demos.wrenchdigital.ca/gold-medal-plumbing-and-drain,"Hey, FREE demo for Gold Medal Plumbing: https://demos.wrenchdigital.ca/gold-medal-plumbing-and-drain",Grow Your Mississauga Plumbing Business Online,"Hi Gold Medal Plumbing and Drain, I'm Shaan from Wrench Digital. I noticed you don't have a website. I'd like to offer a free demo: https://demos.wrenchdigital.ca/gold-medal-plumbing-and-drain. Let's discuss how a website can help your business."
